,MRN,First Name,Last Name,DOB,Phone,Pincode,State,Years of experience,Specialization,Education,Similarity Score
0,w7fWWD,Michael,Baeza,28-10-1972,2423271092,758446,Bihar,14,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5770478471219357
21,dKChsC,Cynthia,Krane,08-02-1982,9028168938,786500,West Bengal,20,"General Physician, Paediatrician, ","MBBS, MS Pediatric surgery, ",0.5459474945164163
36,b91gF8,David,Barnes,22-10-1982,9967056156,919915,West Bengal,16,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5453194977000787
31,PX5G87,Linda,Schlesser,21-05-1968,4782072756,933724,West Bengal,3,"General Physician, ","MBBS, MS Plastic surgery, ",0.5374928219459317
30,fN4fSi,Nancy,Burch,12-12-1970,1193046156,444188,West Bengal,12,"General Physician, ","MBBS, MD in General Surgery, ",0.5329178817110188
20,gePYjo,Mary,Baker,10-09-1985,1760331056,444004,West Bengal,6,"General Physician, ","MBBS, MS Cardiothoracic surgery, ",0.52975731009474
12,KXA1PW,Lance,Burroughs,29-10-1978,4532540746,762817,West Bengal,24,"General Physician, ","MBBS, MS Plastic surgery, ",0.5286747720769946
24,zTFOQc,Larry,Thompson,19-04-1978,1182297839,166543,West Bengal,5,"General Physician, ","MBBS, MS Cardiac surgery, ",0.5256232352612795
40,J7b2of,Gloria,Sharpe,13-12-1957,5081759361,954645,West Bengal,5,"General Physician, ","MBBS, MS Ophthalmology, ",0.5243844370789194
32,qH6Sct,Gary,Hall,10-12-1981,7592383258,774971,West Bengal,20,"General Physician, ","MBBS, MS Cosmetic surgery, ",0.5237568079463406
25,LdHEWB,Jennifer,Edelson,02-06-1966,9893208246,755608,West Bengal,24,"General Physician, ","MBBS, MS Cosmetic surgery, ",0.5234749766301947
3,tt1W3z,Ashley,Huffman,24-09-1960,7063202071,386935,West Bengal,3,"General Physician, ","MBBS, MD in Anatomy, ",0.5225127963321714
6,CMIJuw,Raymond,Wayne,03-05-1990,7280949222,721983,West Bengal,15,"General Physician, Paediatrician, ","MBBS, MS Cardiac surgery, ",0.5206172277063289
33,WFZN50,Cynthia,Cressman,23-08-1965,7017088503,57673,West Bengal,18,"Gynaecologist, Physiotherapist, ","MBBS, MS Cardiac surgery, ",0.5201276882297148
7,fhdvhS,Ray,Greene,12-10-1966,2398337026,289016,West Bengal,21,"Sexologist, Physiotherapist, ","MBBS, MS Plastic surgery, ",0.5197592373182157
15,77kW9C,Robert,Schmidt,27-01-1984,7253464505,43057,West Bengal,23,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5184142096863875
5,ieFZbv,Shawn,Duke,22-01-1983,8965699251,991900,West Bengal,11,"General Physician, Psychiatrist, ","MBBS, MS Cardiac surgery, ",0.5183827173454781
4,dw9NAd,Aaron,Coldiron,27-05-1985,3916410573,1254,West Bengal,19,"Gynaecologist, Physiotherapist, ","MBBS, MS Cardiothoracic surgery, ",0.5152560003747774
14,DhUr9l,Elaine,Huston,15-01-1973,5865678024,562636,West Bengal,15,"General Physician, Psychiatrist, ","MBBS, MS Plastic surgery, ",0.5118785588233824
18,pg1uDu,Travis,Duran,02-02-1985,6677900571,931042,Haryana,16,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5094806479598837
11,7hbLA6,Alvaro,Waldo,12-02-1962,8177509213,133511,Nagaland,19,"Dentist, General Physician, ","MBBS, MS Pediatric surgery, ",0.5094050462696244
23,hK7F9b,Dale,Davis,04-09-1985,5437821852,23122,West Bengal,4,"Sexologist, General Physician, ","MBBS, MS Pediatric surgery, ",0.5092578640390104
29,rDdZFb,Mary,Neptune,11-04-1966,8413261394,154183,West Bengal,19,"General Physician, ","MBBS, MD in Ophthalmology, ",0.5074875160073459
34,VhkODv,Sandra,Steiner,18-02-1956,7494245929,842332,West Bengal,19,"General Physician, Orthopedic, ","MBBS, MS Cardiothoracic surgery, ",0.5072007379110475
44,BU7OHi,Eileen,Heling,02-06-1984,1995527839,398017,West Bengal,24,"General Physician, ","MBBS, MS Plastic surgery, ",0.5061037705822264
39,TrRDvD,Amber,Lawrence,24-05-1974,1398287175,419473,West Bengal,20,"General Physician, ","MBBS, MS Plastic surgery, ",0.5055205178491451
37,VHiono,Erica,Lusk,23-03-1985,9832553864,552153,West Bengal,14,"General Physician, Paediatrician, ","MBBS, MS Pediatric surgery, ",0.5055150007304423
38,qfQjan,Lynne,Sardi,25-02-1972,3046509842,725162,West Bengal,18,"Dentist, General Physician, ","MBBS, MD in Anesthesia, ",0.5054660241948212
26,tuOdPn,Gary,Hawkins,09-11-1972,8758275647,989061,West Bengal,14,"General Physician, ENT, ","MBBS, MS Ophthalmology, ",0.5053591050094552
8,kwWyQI,Amanda,Biondolillo,07-09-1989,5083498425,183988,Uttaranchal,21,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5043803735673495
43,P4JDpJ,Lance,Rainey,29-07-1957,7680408241,244156,Uttaranchal,16,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5042428115561279
13,U7EVXw,Stacey,Hibbs,03-05-1960,9981389109,34649,West Bengal,18,"General Physician, ","MBBS, MD in Aerospace Medicine, ",0.5038836528778105
22,W6d547,Sylvia,Knowles,15-11-1973,3943619725,88046,West Bengal,22,"General Physician, ","MBBS, MD in Anesthesia, ",0.5036445267650181
1,W5aecp,Jeremiah,Walburn,14-11-1978,4380333097,334137,West Bengal,12,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5023023945177386
35,gXfWuo,Debra,Uren,03-12-1962,7473881946,757875,Uttar Pradesh,3,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5019784655600604
17,LAmQFk,Ann,Saysongkham,03-03-1980,5240233971,789754,Meghalaya,20,"General Physician, ","MBBS, MS Plastic surgery, ",0.5018696768667523
2,Djx4A2,Barney,Horn,18-05-1965,9996321127,575680,West Bengal,7,"General Physician, ","MBBS, MD in Forensic Medicine, ",0.5017958856728083
42,FwPxMP,Shawn,Ovalle,12-07-1975,9983093673,959429,Bihar,5,"General Physician, ","MBBS, MS Cardiac surgery, ",0.5017291153204586
27,CcXFM1,Maria,Hernandez,24-08-1962,1012060628,112796,Tamil Nadu,14,"General Physician, ","MBBS, MS Pediatric surgery, ",0.5012653022908433
28,fODvsj,Byron,Adamson,31-07-1986,1551493498,877991,Madhya Pradesh,18,"General Physician, ","MBBS, MS Plastic surgery, ",0.5008950446014201
19,FTzvHT,Ronald,Torpey,12-08-1982,4296869009,849978,West Bengal,18,"General Physician, Gynaecologist, ","MBBS, MS Pediatric surgery, ",0.5007754020349068
9,Co0WAV,Catalina,Santana,03-11-1985,3142225682,736564,West Bengal,19,"Dermatologist, ","MBBS, MS Pediatric surgery, ",0.5006539521096453
16,o0c036,Nathan,Priolean,23-10-1987,9617549944,298748,West Bengal,15,"General Physician, ","MBBS, MD in Orthopedics, ",0.500648204430274
41,uWBCbF,Sharon,Spears,11-01-1988,8121438904,607784,Karnataka,9,"General Physician, ","MBBS, MS Plastic surgery, ",0.5004236510007616
10,pQl7Sf,Stella,Garske,21-05-1976,8276080907,701492,West Bengal,8,"Gynaecologist, Psychiatrist, ","MBBS, MS Pediatric surgery, ",0.5001255027692929
